Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-03 10:46:14,1,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,1,0,0,0,16.554588,2.3433506,-16.387896,0.3094911,0.43963322,0.7524072,0.4161997
2025-10-03 10:46:19,1,1,29 Jade Hostein,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,1,11.709962,10.901684,-4.275102,0.7524072,0.4161997,0.8679505,0.30718288
2025-10-03 10:46:50,1,1,27 Connie Chan,21 Sowmya Ragothaman,0,0,0,0,0,0,0,1,0,1,0,16.55187,0.6113082,16.540577,0.8679505,0.30718288,0.42090788,0.3010698
2025-10-03 10:46:55,1,1,21 Sowmya Ragothaman,08 PJ Maddi Lang,0,0,0,0,0,1,0,0,0,0,0,8.912622,2.139583,8.651996,0.42090788,0.3010698,0.18707018,0.27967396
2025-10-03 10:47:03,1,1,08 PJ Maddi Lang,06 Kylie Chesner,0,0,0,1,1,0,0,0,0,0,1,17.18501,16.96383,2.7482808,0.18707018,0.27967396,0.11279232,0.11003566
2025-10-03 10:48:33,2,1,82 Claire Schmitt,23 Marie Zarazoga,0,0,0,0,0,0,0,0,0,1,1,13.05062,12.735611,2.850068,0.9697386,0.6693836,0.89270973,0.5420275
2025-10-03 10:48:42,2,1,23 Marie Zarazoga,26 Rhea Joshi,0,0,0,0,0,0,0,0,0,1,1,15.488587,15.486497,-0.25447124,0.89270973,0.5420275,0.89958733,0.3871625
2025-10-03 10:48:51,2,1,26 Rhea Joshi,82 Claire Schmitt,0,0,0,0,0,0,0,1,0,1,0,12.261338,-1.0697901,12.21458,0.89958733,0.3871625,0.56946355,0.3978604
2025-10-03 10:48:55,2,1,82 Claire Schmitt,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,12.837891,6.8772287,10.840442,0.56946355,0.3978604,0.27647865,0.32908812
2025-10-03 10:49:00,2,1,21 Sowmya Ragothaman,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,9.151681,-2.49618,-8.804678,0.27647865,0.32908812,0.5144429,0.35404992
2025-10-03 10:49:07,2,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,10.778417,7.233825,-7.9903708,0.5144429,0.35404992,0.7303989,0.28171167
2025-10-03 10:49:16,2,1,29 Jade Hostein,27 Connie Chan,1,1,0,1,0,0,0,0,0,0,1,17.608608,15.8431,-7.685006,0.7303989,0.28171167,0.93810177,0.12328068
2025-10-03 10:49:48,2,2,82 Claire Schmitt,29 Jade Hostein,1,1,0,1,0,0,0,0,0,1,1,16.418932,16.403463,0.71251804,0.07427783,0.27814567,0.05502059,0.11411104
2025-10-03 10:51:49,2,3,27 Connie Chan,82 Claire Schmitt,0,0,0,0,0,0,0,1,0,0,0,12.692681,0.7131994,12.672628,0.75240713,0.53846157,0.40990368,0.5313296
2025-10-03 10:51:55,2,3,82 Claire Schmitt,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,11.045964,10.748852,2.5447025,0.40990368,0.5313296,0.34112793,0.42384106
2025-10-03 10:52:02,2,3,21 Sowmya Ragothaman,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,1,8.859778,5.1961274,7.176066,0.34112793,0.42384106,0.1471802,0.3718798
2025-10-03 10:52:06,2,3,27 Connie Chan,82 Claire Schmitt,0,0,0,0,0,1,0,0,1,1,0,6.6752014,-6.673455,-0.15268175,0.1471802,0.3718798,0.15130673,0.43861434
2025-10-03 10:52:17,2,3,82 Claire Schmitt,29 Jade Hostein,0,0,0,1,1,0,1,0,0,0,1,28.891935,28.88436,0.66162425,0.15130673,0.43861434,0.133425,0.14977074
2025-10-03 10:53:40,3,1,15 Hannah Cheng,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,0,10.07046,9.62812,2.951857,0.59147185,0.434539,0.5116919,0.3382578
