Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
15 Hannah Cheng,8,"3,4,6,9,12,14,16,18",4,4,4,3,20,7,19,11,9,1,3,1,1,1,0,2,0,0,224.54,124.10,12.47,6.89,112.02,25.62,10.18,2.33
06 Kylie Chesner,8,"1,3,5,7,8,14,16,18",0,8,0,5,3,3,2,2,1,0,1,1,0,0,0,1,0,0,16.87,14.24,8.44,7.12,27.70,24.66,13.85,12.33
82 Claire Schmitt,8,"1,2,5,7,8,14,16,17",1,7,1,5,14,6,14,8,6,4,0,0,1,1,0,0,0,0,265.90,218.46,20.45,16.80,82.61,7.36,10.33,0.92
21 Sowmya Ragothaman,7,"1,2,5,8,14,15,17",1,6,1,4,8,4,7,8,0,1,1,1,0,0,0,0,0,0,62.34,13.50,8.91,1.93,104.31,47.48,13.04,5.93
27 Connie Chan,7,"1,2,3,7,13,15,17",1,6,1,5,12,6,11,11,1,0,2,1,2,2,0,1,0,0,94.62,31.23,10.51,3.47,186.59,138.56,16.96,12.60
26 Rhea Joshi,7,"1,2,5,8,13,15,17",1,6,1,4,3,3,3,3,0,0,1,0,0,0,0,0,0,0,39.86,26.08,13.29,8.69,43.09,42.38,14.36,14.13
08 PJ Maddi Lang,7,"1,3,5,7,13,15,18",0,7,0,5,11,4,11,9,2,2,0,0,1,0,1,0,0,0,138.11,83.95,12.56,7.63,78.32,18.24,8.70,2.03
29 Jade Hostein,7,"1,2,5,7,13,16,18",0,7,0,6,7,6,5,7,0,1,1,2,1,1,0,0,0,0,42.70,19.51,10.68,4.88,123.14,97.86,17.59,13.98
23 Marie Zarazoga,6,"2,7,8,13,15,17",1,5,1,4,3,2,3,3,0,0,0,0,0,0,0,0,0,0,30.11,13.91,10.04,4.64,29.47,22.82,9.82,7.61
07 Annie Phan,6,"3,6,9,13,16,18",2,4,2,3,5,3,4,3,2,1,0,1,0,0,0,0,0,0,50.19,25.57,12.55,6.39,25.74,21.55,8.58,7.18
11 Letty Ho,5,"2,3,13,15,18",0,5,0,4,5,3,3,5,0,0,0,2,0,0,0,1,0,0,31.77,16.30,10.59,5.43,66.51,53.95,13.30,10.79
17 Rufus Caitlin Duffner,5,"4,5,9,12,17",4,1,4,0,6,3,5,6,0,0,1,1,1,1,0,1,0,0,42.26,6.27,10.57,1.57,71.83,59.09,11.97,9.85
25 Ducky Tewodros,5,"7,8,14,16,17",1,4,1,3,3,3,2,3,0,0,0,1,1,0,1,0,0,0,21.00,9.70,10.50,4.85,54.85,42.03,18.28,14.01
72 JJ Jarik,5,"3,4,6,12,18",3,2,3,1,5,4,5,5,0,0,1,0,1,1,0,1,0,0,41.04,35.02,10.26,8.76,63.63,29.48,12.73,5.90
24 Anna Stubbs,4,"4,6,9,15",3,1,3,1,5,4,5,5,0,1,1,0,2,1,1,0,0,0,48.28,43.15,12.07,10.79,61.93,47.78,12.39,9.56
31 Abby Shure,3,"4,9,12",3,0,3,0,4,3,3,3,1,0,0,1,0,0,0,0,0,0,34.12,24.30,11.37,8.10,32.44,26.22,10.81,8.74
10 Steph Rupp,3,"4,9,12",3,0,3,0,6,4,6,6,0,0,0,0,1,1,0,0,0,0,66.66,49.82,13.33,9.96,70.40,22.62,11.73,3.77
05 Anna Thorn,3,"4,6,12",3,0,3,0,8,3,8,6,2,2,1,0,1,1,0,0,0,0,60.75,31.97,10.13,5.33,51.98,41.37,8.66,6.89
13 Grace Feehan,3,"6,9,14",2,1,2,1,4,2,3,3,1,0,0,1,1,1,0,1,0,0,31.73,31.43,15.87,15.71,53.01,50.07,17.67,16.69
09 Moose Lucy Petersen,3,"6,12,16",2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.76,9.73,9.76,9.73,13.03,9.12,13.03,9.12
16 Sasha Baumann,2,"8,14",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
