Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-10-03 10:42:37,1,0,0,0,1,1,5,0,0,0,0,1,21 Sowmya Ragothaman,08 PJ Maddi Lang,06 Kylie Chesner
2025-10-03 10:47:12,2,1,0,0,1,3,13,2,2,0,1,2,27 Connie Chan,82 Claire Schmitt,29 Jade Hostein
2025-10-03 10:52:21,3,2,0,0,0,3,13,3,3,1,0,3,,,
2025-10-03 11:01:21,4,2,1,1,1,2,13,1,1,0,1,0,24 Anna Stubbs,05 Anna Thorn,15 Hannah Cheng
2025-10-03 11:04:24,5,3,1,0,0,0,0,0,0,0,0,0,,,
2025-10-03 11:05:18,6,3,2,1,1,3,11,2,1,1,2,0,05 Anna Thorn,15 Hannah Cheng,07 Annie Phan
2025-10-03 11:10:58,7,4,2,0,1,1,3,0,0,0,0,1,29 Jade Hostein,82 Claire Schmitt,25 Ducky Tewodros
2025-10-03 11:12:27,8,5,2,0,0,0,0,0,0,0,0,0,,,
2025-10-03 11:16:08,9,5,3,1,1,2,11,1,1,0,0,1,15 Hannah Cheng,07 Annie Phan,17 Rufus Caitlin Duffner
2025-10-03 11:19:33,10,6,3,0,1,1,1,0,0,0,0,1,,,
2025-10-03 11:20:16,11,7,3,0,1,1,1,0,0,0,0,1,,,
2025-10-03 11:20:24,12,8,3,1,1,2,6,1,1,0,1,0,15 Hannah Cheng,05 Anna Thorn,31 Abby Shure
2025-10-03 11:22:22,13,9,3,0,1,1,11,0,0,0,0,1,27 Connie Chan,08 PJ Maddi Lang,11 Letty Ho
2025-10-03 11:26:41,14,10,3,0,1,2,6,1,1,0,2,0,06 Kylie Chesner,82 Claire Schmitt,13 Grace Feehan
2025-10-03 11:29:26,15,11,3,0,1,1,7,0,0,0,1,0,26 Rhea Joshi,24 Anna Stubbs,21 Sowmya Ragothaman
2025-10-03 11:33:43,16,12,3,0,1,1,2,0,0,0,0,1,15 Hannah Cheng,82 Claire Schmitt,29 Jade Hostein
2025-10-03 11:37:23,17,13,3,1,1,2,11,1,1,1,0,1,17 Rufus Caitlin Duffner,21 Sowmya Ragothaman,27 Connie Chan
2025-10-03 11:41:44,18,14,3,0,1,1,8,0,0,0,0,1,72 JJ Jarik,29 Jade Hostein,11 Letty Ho
2025-10-03 11:45:36,19,15,3,0,0,0,0,0,0,0,0,0,,,
