Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-10-03 10:46:10,1,1,0,1,0.3094911,0.43963322,82 Claire Schmitt,5,21 Sowmya Ragothaman,08 PJ Maddi Lang,06 Kylie Chesner,,,
2025-10-03 10:48:22,2,1,0,0,0.9697386,0.6693836,82 Claire Schmitt,7,,,,29 Jade Hostein,,
2025-10-03 10:49:39,2,2,0,0,0.07427783,0.27814567,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-10-03 10:51:45,2,3,0,1,0.75240713,0.53846157,27 Connie Chan,5,27 Connie Chan,82 Claire Schmitt,29 Jade Hostein,,,
2025-10-03 10:53:37,3,1,0,0,0.59147185,0.434539,15 Hannah Cheng,2,,,,72 JJ Jarik,,
2025-10-03 10:54:41,3,2,0,0,0.8445667,0.82883346,15 Hannah Cheng,2,,,,27 Connie Chan,,
2025-10-03 10:56:46,3,3,0,0,0.9642366,0.8196638,15 Hannah Cheng,9,,,,15 Hannah Cheng,08 PJ Maddi Lang,
2025-10-03 11:02:30,4,1,1,0,0.2709766,0.7152318,05 Anna Thorn,5,,,,17 Rufus Caitlin Duffner,,
2025-10-03 11:03:30,4,2,1,1,0.6272352,0.6179317,31 Abby Shure,8,24 Anna Stubbs,05 Anna Thorn,15 Hannah Cheng,,,
2025-10-03 11:06:00,6,1,1,0,0.34112793,0.669893,07 Annie Phan,6,,,,05 Anna Thorn,,
2025-10-03 11:09:04,6,2,1,0,0.59396434,0.69933975,15 Hannah Cheng,3,,,,,24 Anna Stubbs,
2025-10-03 11:10:26,6,3,1,1,0.89270973,0.30106977,05 Anna Thorn,2,05 Anna Thorn,15 Hannah Cheng,07 Annie Phan,,,
2025-10-03 11:12:07,7,1,0,1,0.34525448,0.3280693,82 Claire Schmitt,3,29 Jade Hostein,82 Claire Schmitt,25 Ducky Tewodros,,,
2025-10-03 11:16:44,9,1,1,0,0.58184326,0.73357105,07 Annie Phan,4,,,,24 Anna Stubbs,,
2025-10-03 11:18:19,9,2,1,1,0.69876206,0.8211921,15 Hannah Cheng,7,15 Hannah Cheng,07 Annie Phan,17 Rufus Caitlin Duffner,,,
2025-10-03 11:20:12,10,1,0,1,0.5323246,0.38003057,,1,,,,,,
2025-10-03 11:20:21,11,1,0,1,0.47867954,0.3138054,,1,,,,,,
2025-10-03 11:20:54,12,1,1,0,0.69463545,0.6968925,15 Hannah Cheng,2,,,,10 Steph Rupp,,
2025-10-03 11:21:50,12,2,1,1,0.6282579,0.29964447,15 Hannah Cheng,4,15 Hannah Cheng,05 Anna Thorn,31 Abby Shure,,,
2025-10-03 11:24:11,13,1,0,1,0.8514443,0.8349465,08 PJ Maddi Lang,11,27 Connie Chan,08 PJ Maddi Lang,11 Letty Ho,,,
2025-10-03 11:27:41,14,1,0,0,0.7434842,0.8902996,13 Grace Feehan,4,,,,13 Grace Feehan,,
2025-10-03 11:29:12,14,2,0,1,0.7187928,0.50482476,06 Kylie Chesner,2,06 Kylie Chesner,82 Claire Schmitt,13 Grace Feehan,,,
2025-10-03 11:32:51,15,1,0,1,0.10866577,0.82883346,08 PJ Maddi Lang,7,26 Rhea Joshi,24 Anna Stubbs,21 Sowmya Ragothaman,,,
2025-10-03 11:37:06,16,1,0,1,0.070151284,0.32959753,15 Hannah Cheng,2,15 Hannah Cheng,82 Claire Schmitt,29 Jade Hostein,,,
2025-10-03 11:38:21,17,1,1,0,0.9325998,0.54100865,82 Claire Schmitt,3,,,,27 Connie Chan,25 Ducky Tewodros,
2025-10-03 11:40:29,17,2,1,1,0.56808805,0.8308711,82 Claire Schmitt,8,17 Rufus Caitlin Duffner,21 Sowmya Ragothaman,27 Connie Chan,,,
2025-10-03 11:44:03,18,1,0,1,0.89133424,0.5140092,15 Hannah Cheng,8,72 JJ Jarik,29 Jade Hostein,11 Letty Ho,,,
