Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-10 12:28:13,1,1,82 Claire Schmitt,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,9.045953,-2.8018355,8.601103,0.73865205,0.29546613,0.5061898,0.32348448
2025-10-10 12:28:15,1,1,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,9.013566,-2.8527765,8.550207,0.5061898,0.32348448,0.27510315,0.35201225
2025-10-10 12:28:21,1,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,9.275812,8.150792,4.4277854,0.27510315,0.35201225,0.15543328,0.27050433
2025-10-10 12:28:31,1,1,29 Jade Hostein,27 Connie Chan,0,0,0,0,0,1,0,0,0,0,0,7.386827,7.3866515,0.050893366,0.15543328,0.27050433,0.15405779,0.19663781
2025-10-10 12:28:37,1,1,27 Connie Chan,25 Ducky Tewodros,0,0,0,1,1,0,0,0,0,0,0,7.254647,7.1828833,-1.0178828,0.15405779,0.19663781,0.18156813,0.124808975
2025-10-10 12:29:08,3,1,,,0,0,0,1,1,0,0,0,0,0,0,12.022416,12.022416,0.0,0.5158185,0.22822213,0.5158185,0.10799797
2025-10-10 12:29:15,4,1,,,0,0,0,1,1,0,0,0,0,0,0,12.090834,11.614875,3.3590095,0.46354878,0.22720325,0.37276474,0.1110545
2025-10-10 12:29:24,5,1,,,0,0,0,1,1,0,0,0,0,0,0,8.450891,8.35456,-1.2723517,0.47867954,0.21344881,0.5130674,0.12990321
2025-10-10 12:30:06,6,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,12.326354,5.9602647,-10.789543,0.34525448,0.3367295,0.63686377,0.27712685
2025-10-10 12:30:14,6,1,29 Jade Hostein,06 Kylie Chesner,1,1,0,1,0,0,0,0,0,0,0,20.678017,20.427917,-3.2063284,0.63686377,0.27712685,0.7235213,0.07284767
2025-10-10 12:30:38,6,2,29 Jade Hostein,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,8.942857,7.46572,-4.9231815,0.39506173,0.7800914,0.5281207,0.7054342
2025-10-10 12:30:40,6,2,08 PJ Maddi Lang,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,6.8725386,4.5200586,5.1769547,0.5281207,0.7054342,0.388203,0.6602336
2025-10-10 12:30:45,6,2,29 Jade Hostein,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,14.060309,12.442863,-6.5473247,0.388203,0.6602336,0.5651577,0.535805
2025-10-10 12:30:48,6,2,27 Connie Chan,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,7.7022605,1.168108,7.6131687,0.5651577,0.535805,0.3593964,0.5241239
2025-10-10 12:30:53,6,2,29 Jade Hostein,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,8.063636,4.9771457,-6.344308,0.3593964,0.5241239,0.5308642,0.47435245
2025-10-10 12:31:20,6,2,27 Connie Chan,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,11.2757,3.961399,-10.556928,0.5308642,0.47435245,0.81618655,0.43473846
2025-10-10 12:31:27,6,2,29 Jade Hostein,82 Claire Schmitt,1,1,0,0,0,0,0,1,0,0,0,13.524898,-1.4220387,13.449931,0.81618655,0.43473846,0.4526749,0.44895884
2025-10-10 12:33:01,7,1,07 Annie Phan,15 Hannah Cheng,0,0,0,0,0,0,0,1,0,1,0,16.480043,3.3622026,16.133427,0.92159563,0.6923077,0.48555708,0.6586857
2025-10-10 12:33:06,7,1,15 Hannah Cheng,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,9.24135,7.2338223,-5.751032,0.48555708,0.6586857,0.6409904,0.58634746
2025-10-10 12:33:15,7,1,10 Steph Rupp,13 Grace Feehan,1,1,0,0,0,0,1,0,0,0,0,29.88879,29.699442,-3.3590107,0.6409904,0.58634746,0.73177445,0.28935304
2025-10-10 12:34:03,7,2,15 Hannah Cheng,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,8.909513,5.3489566,-7.1251726,0.5474553,0.8104942,0.74002755,0.7570046
2025-10-10 12:34:07,7,2,10 Steph Rupp,15 Hannah Cheng,0,0,0,0,0,0,0,1,0,0,0,14.618969,2.1905303,14.453921,0.74002755,0.7570046,0.34938103,0.7350993
2025-10-10 12:34:15,7,2,15 Hannah Cheng,17 Rufus Caitlin Duffner,1,1,0,0,0,0,1,0,0,0,0,39.5519,38.818134,-7.5832195,0.34938103,0.7350993,0.5543329,0.346918
2025-10-10 12:34:39,7,3,13 Grace Feehan,07 Annie Phan,0,0,0,0,0,0,0,0,0,0,0,6.5490956,0.1523614,-6.547323,0.56378603,0.34992382,0.7407407,0.3484002
2025-10-10 12:35:18,7,3,07 Annie Phan,13 Grace Feehan,0,0,0,0,0,1,0,0,0,0,1,15.91925,15.337735,-4.263376,0.7407407,0.3484002,0.8559671,0.19502285
2025-10-10 12:35:21,7,3,13 Grace Feehan,15 Hannah Cheng,0,0,0,1,1,0,0,0,0,1,1,10.556153,10.259013,-2.4869692,0.8559671,0.19502285,0.9231825,0.092432715
2025-10-10 12:37:01,8,1,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,4.5589867,-0.91416836,-4.466392,0.38271606,0.8669375,0.50342935,0.8760792
2025-10-10 12:37:07,8,1,82 Claire Schmitt,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,5.480093,-1.4728308,5.278465,0.50342935,0.8760792,0.36076814,0.8908075
2025-10-10 12:37:13,8,1,08 PJ Maddi Lang,82 Claire Schmitt,0,0,0,0,0,0,0,1,0,0,0,11.896822,3.504318,-11.368999,0.36076814,0.8908075,0.66803837,0.8557643
2025-10-10 12:37:20,8,1,82 Claire Schmitt,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,10.411055,10.157442,-2.2839515,0.66803837,0.8557643,0.7297668,0.7541899
2025-10-10 12:37:25,8,1,08 PJ Maddi Lang,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,20.856289,20.46724,-4.009602,0.7297668,0.7541899,0.8381344,0.5495175
2025-10-10 12:37:31,8,1,27 Connie Chan,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,0,0,10.741196,2.2346377,10.506173,0.8381344,0.5495175,0.5541838,0.52717113
2025-10-10 12:37:35,8,1,21 Sowmya Ragothaman,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,8.46509,3.2503815,7.8161864,0.5541838,0.52717113,0.3429355,0.49466732
2025-10-10 12:37:42,8,1,82 Claire Schmitt,27 Connie Chan,1,1,0,1,0,0,1,0,0,0,0,39.741398,36.516,-15.683127,0.3429355,0.49466732,0.7668038,0.12950735
2025-10-10 12:38:13,8,2,82 Claire Schmitt,25 Ducky Tewodros,0,0,0,0,0,0,0,1,0,0,0,15.186128,4.3301077,-14.555708,0.2888583,0.3219562,0.6822558,0.2786551
2025-10-10 12:38:29,8,2,25 Ducky Tewodros,82 Claire Schmitt,0,0,0,0,0,1,0,0,0,0,0,5.5580106,4.992358,2.4429169,0.6822558,0.2786551,0.616231,0.22873153
2025-10-10 12:38:35,8,2,82 Claire Schmitt,06 Kylie Chesner,0,0,0,1,1,0,0,0,0,0,0,11.641525,7.845135,-8.601103,0.616231,0.22873153,0.84869325,0.15028018
2025-10-10 12:40:02,9,1,05 Anna Thorn,10 Steph Rupp,0,0,0,0,0,0,0,1,0,0,0,17.037418,2.547121,16.845943,0.6685007,0.82934284,0.21320495,0.80387163
