Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
82 Claire Schmitt,8,"1,6,8,10,12,14,16,17",0,8,0,7,18,8,18,10,8,3,0,0,1,1,0,1,0,0,240.16,175.72,15.01,10.98,74.84,14.96,7.48,1.50
27 Connie Chan,8,"1,6,8,10,11,13,15,17",1,7,1,6,15,8,14,15,0,1,2,1,0,0,0,0,0,0,136.67,65.03,10.51,5.00,175.62,124.07,11.71,8.27
07 Annie Phan,7,"7,9,11,14,15,16,17",2,5,2,5,11,5,11,10,1,1,2,0,1,1,0,0,0,0,161.94,107.24,16.19,10.72,100.85,35.56,10.08,3.56
06 Kylie Chesner,7,"1,6,8,10,12,14,16",0,7,0,6,5,4,2,5,0,0,0,3,0,0,0,0,0,0,12.91,-5.05,6.45,-2.52,92.21,70.70,18.44,14.14
21 Sowmya Ragothaman,7,"1,8,10,12,13,15,16",0,7,0,7,7,4,7,6,1,2,0,0,0,0,0,1,0,0,62.71,44.11,8.96,6.30,53.45,11.20,8.91,1.87
29 Jade Hostein,7,"1,6,10,12,14,16,17",0,7,0,6,12,7,11,9,3,0,3,1,4,3,1,3,0,0,76.36,50.56,9.54,6.32,93.56,65.94,10.40,7.33
08 PJ Maddi Lang,5,"1,6,8,12,13",0,5,0,4,15,5,15,11,4,0,1,0,0,0,0,2,0,0,161.32,78.06,10.75,5.20,99.45,21.35,9.04,1.94
15 Hannah Cheng,5,"7,11,14,15,17",2,3,2,3,11,5,10,8,3,1,1,1,2,2,0,0,0,0,90.74,49.83,11.34,6.23,115.64,43.76,14.45,5.47
72 JJ Jarik,5,"7,8,9,11,17",2,3,2,3,6,3,6,6,0,1,1,0,1,1,0,1,0,0,71.46,57.62,14.29,11.52,100.40,75.39,16.73,12.57
25 Ducky Tewodros,5,"1,8,12,14,16",0,5,0,5,3,3,2,3,0,0,1,1,0,0,0,0,0,0,17.66,7.39,8.83,3.69,31.56,15.08,10.52,5.03
26 Rhea Joshi,4,"6,10,13,15",0,4,0,3,5,3,4,5,0,1,0,1,1,0,1,0,0,0,47.90,21.79,11.97,5.45,116.04,92.16,23.21,18.43
17 Rufus Caitlin Duffner,4,"7,9,11,17",2,2,2,2,6,2,5,5,1,0,0,1,0,0,0,1,0,0,45.16,7.86,9.03,1.57,66.04,34.64,13.21,6.93
11 Letty Ho,3,"6,13,15",0,3,0,2,6,2,5,6,0,0,0,1,1,1,0,0,0,0,39.84,10.29,9.96,2.57,74.46,61.79,12.41,10.30
31 Abby Shure,3,"9,11,14",1,2,1,2,3,2,2,3,0,0,0,1,0,0,0,0,0,0,14.62,-4.13,7.31,-2.06,31.20,21.19,10.40,7.06
23 Marie Zarazoga,2,"10,13",0,2,0,2,6,1,6,6,0,0,0,0,1,1,0,0,0,0,50.69,17.63,10.14,3.53,51.47,13.40,8.58,2.23
10 Steph Rupp,2,"7,9",1,1,1,1,8,2,8,6,2,0,0,0,2,2,0,0,0,0,71.06,28.58,11.84,4.76,59.36,7.95,9.89,1.32
24 Anna Stubbs,2,"7,9",1,1,1,1,4,1,4,4,0,1,0,0,1,1,0,1,0,0,35.76,24.30,11.92,8.10,57.63,50.03,14.41,12.51
09 Moose Lucy Petersen,2,"12,15",0,2,0,2,1,1,1,1,0,0,0,0,0,0,0,2,0,0,11.74,8.30,11.74,8.30,11.43,10.95,11.43,10.95
16 Sasha Baumann,2,"13,16",0,2,0,2,4,2,3,4,0,0,0,1,0,0,0,0,0,0,27.86,3.82,9.29,1.27,43.17,35.35,10.79,8.84
05 Anna Thorn,2,"9,11",1,1,1,1,7,2,7,4,3,0,1,0,0,0,0,0,0,0,114.43,81.19,16.35,11.60,38.30,9.89,9.57,2.47
13 Grace Feehan,1,7,1,0,1,0,3,2,3,2,1,1,0,0,0,0,0,1,0,0,22.83,8.22,7.61,2.74,27.12,22.98,13.56,11.49
