Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-10-10 12:28:12,1,1,0,1,0.73865205,0.29546613,82 Claire Schmitt,5,29 Jade Hostein,27 Connie Chan,25 Ducky Tewodros,,,
2025-10-10 12:29:08,3,1,1,1,0.5158185,0.22822213,,1,,,,,,
2025-10-10 12:29:15,4,1,0,1,0.46354878,0.22720325,,1,,,,,,
2025-10-10 12:29:23,5,1,0,1,0.47867954,0.21344881,,1,,,,,,
2025-10-10 12:29:59,6,1,0,0,0.34525448,0.3367295,82 Claire Schmitt,2,,,,29 Jade Hostein,,
2025-10-10 12:30:34,6,2,0,0,0.39506173,0.7800914,29 Jade Hostein,7,,,,29 Jade Hostein,,
2025-10-10 12:32:58,7,1,1,0,0.92159563,0.6923077,07 Annie Phan,3,,,,10 Steph Rupp,,
2025-10-10 12:33:54,7,2,1,0,0.5474553,0.8104942,15 Hannah Cheng,3,,,,15 Hannah Cheng,,
2025-10-10 12:34:37,7,3,1,1,0.56378603,0.34992382,13 Grace Feehan,3,07 Annie Phan,13 Grace Feehan,15 Hannah Cheng,,,
2025-10-10 12:36:36,8,1,0,0,0.38271606,0.8669375,08 PJ Maddi Lang,8,,,,82 Claire Schmitt,,
2025-10-10 12:38:06,8,2,0,1,0.2888583,0.3219562,82 Claire Schmitt,3,25 Ducky Tewodros,82 Claire Schmitt,06 Kylie Chesner,,,
2025-10-10 12:39:43,9,1,0,0,0.6685007,0.82934284,05 Anna Thorn,4,,,,24 Anna Stubbs,,
2025-10-10 12:41:09,9,2,0,0,0.6602476,0.81864494,10 Steph Rupp,4,,,,10 Steph Rupp,,
2025-10-10 12:42:48,9,3,0,0,0.20495185,0.82883346,05 Anna Thorn,14,,,,07 Annie Phan,,
2025-10-10 12:44:53,9,4,0,1,0.696011,0.7712685,10 Steph Rupp,7,72 JJ Jarik,24 Anna Stubbs,17 Rufus Caitlin Duffner,,,
2025-10-10 12:47:00,10,1,0,0,0.34567901,0.39156932,29 Jade Hostein,1,,,,29 Jade Hostein,,
2025-10-10 12:47:26,10,2,0,1,0.28532234,0.8664296,29 Jade Hostein,8,27 Connie Chan,82 Claire Schmitt,26 Rhea Joshi,,,
2025-10-10 12:49:25,11,1,1,0,0.5171939,0.6286296,05 Anna Thorn,2,,,,72 JJ Jarik,,
2025-10-10 12:50:05,11,2,1,1,0.3251029,0.39766377,17 Rufus Caitlin Duffner,3,05 Anna Thorn,15 Hannah Cheng,27 Connie Chan,,,
2025-10-10 12:51:28,12,1,0,1,0.8184319,0.430973,82 Claire Schmitt,4,08 PJ Maddi Lang,21 Sowmya Ragothaman,06 Kylie Chesner,,,
2025-10-10 17:31:35,13,1,0,0,0.6808803,0.42384106,08 PJ Maddi Lang,6,,,,,26 Rhea Joshi,
2025-10-10 17:32:38,13,2,0,0,0.6396148,0.41925624,21 Sowmya Ragothaman,6,,,,23 Marie Zarazoga,,
2025-10-10 17:33:34,13,3,0,0,0.34662998,0.82322973,08 PJ Maddi Lang,8,,,,11 Letty Ho,,
2025-10-10 17:35:35,13,4,0,1,0.12104535,0.81456953,08 PJ Maddi Lang,13,27 Connie Chan,26 Rhea Joshi,16 Sasha Baumann,,,
2025-10-10 17:38:54,14,1,0,0,0.14030266,0.6525726,82 Claire Schmitt,3,,,,15 Hannah Cheng,,
2025-10-10 17:40:26,14,2,0,0,0.11004127,0.5914417,82 Claire Schmitt,1,,,,,29 Jade Hostein,
2025-10-10 17:41:01,14,3,0,1,0.37826684,0.46408558,15 Hannah Cheng,4,29 Jade Hostein,82 Claire Schmitt,31 Abby Shure,,,
2025-10-10 17:43:44,15,1,0,1,0.57083905,0.66123277,15 Hannah Cheng,8,15 Hannah Cheng,21 Sowmya Ragothaman,11 Letty Ho,,,
2025-10-10 17:46:34,16,1,0,1,0.2792297,0.8308711,82 Claire Schmitt,6,29 Jade Hostein,07 Annie Phan,06 Kylie Chesner,,,
2025-10-10 17:50:32,17,1,0,1,0.23108664,0.8237392,82 Claire Schmitt,8,07 Annie Phan,72 JJ Jarik,29 Jade Hostein,,,
