Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-10 11:36:23,2,1,05 Anna Thorn,10 Steph Rupp,0,0,0,0,0,0,0,1,0,0,0,14.036808,5.094242,-13.079781,0.3191197,0.7152318,0.6726273,0.66428936
2025-10-10 11:36:31,2,1,10 Steph Rupp,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,0,11.696028,11.156392,-3.511693,0.6726273,0.66428936,0.7675379,0.55272543
2025-10-10 11:36:39,2,1,72 JJ Jarik,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,8.327782,7.8960776,-2.6464903,0.7675379,0.55272543,0.83906466,0.47376466
2025-10-10 11:36:43,2,1,10 Steph Rupp,31 Abby Shure,0,0,0,0,0,0,0,0,0,0,1,11.49897,11.360163,-1.7812943,0.83906466,0.47376466,0.88720775,0.36016303
2025-10-10 11:37:12,2,1,31 Abby Shure,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,0,1,1,7.7569304,7.727832,-0.67125565,0.88720775,0.36016303,0.9053498,0.28288472
2025-10-10 11:37:21,2,1,17 Rufus Caitlin Duffner,05 Anna Thorn,1,1,0,0,0,0,0,1,0,1,0,14.792296,-1.4728308,14.718791,0.9053498,0.28288472,0.50754464,0.29761302
2025-10-10 11:38:06,2,2,05 Anna Thorn,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,0,9.768435,7.8960714,5.751032,0.47042644,0.7809475,0.31499314,0.7019868
2025-10-10 11:38:20,2,2,72 JJ Jarik,17 Rufus Caitlin Duffner,0,0,0,0,0,0,1,0,0,0,0,29.983185,29.903212,2.1884446,0.31499314,0.7019868,0.255846,0.40295467
2025-10-10 11:38:28,2,2,17 Rufus Caitlin Duffner,31 Abby Shure,0,0,0,0,0,0,0,0,1,0,0,7.1552234,-6.9791136,1.5777186,0.255846,0.40295467,0.21320495,0.4727458
2025-10-10 11:38:31,2,2,31 Abby Shure,17 Rufus Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,0,12.376544,8.150789,-9.313618,0.21320495,0.4727458,0.46492434,0.3912379
