Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
21 Sowmya Ragothaman,9,"1,3,5,7,8,12,13,15,17",0,9,0,8,6,5,5,6,0,1,1,1,0,0,0,0,0,0,61.36,27.13,12.27,5.43,79.54,36.40,13.26,6.07
82 Claire Schmitt,9,"1,3,5,8,12,13,15,16,17",0,9,0,8,16,8,15,9,7,5,3,1,1,1,0,0,0,0,238.20,202.68,17.01,14.48,78.06,32.44,8.67,3.60
06 Kylie Chesner,8,"1,3,7,9,12,14,16,17",0,8,0,6,5,4,3,4,1,0,1,2,1,1,0,1,0,0,17.55,4.01,8.78,2.01,68.15,56.75,17.04,14.19
29 Jade Hostein,8,"1,3,6,9,12,13,15,17",0,8,0,6,8,5,7,7,1,1,1,1,1,1,0,1,0,0,71.79,53.68,11.96,8.95,86.33,44.49,12.33,6.36
08 PJ Maddi Lang,8,"1,3,6,7,9,12,14,16",0,8,0,6,6,4,5,5,1,1,1,1,0,0,0,0,0,0,56.49,19.73,11.30,3.95,46.08,18.04,9.22,3.61
27 Connie Chan,7,"1,3,5,8,12,14,17",0,7,0,6,7,5,6,6,1,0,1,1,0,0,0,2,0,0,71.53,35.20,11.92,5.87,81.16,60.83,13.53,10.14
25 Ducky Tewodros,6,"1,6,8,12,14,16",0,6,0,5,3,3,2,3,0,1,0,1,0,0,0,0,0,0,33.87,13.75,16.93,6.88,36.57,34.23,12.19,11.41
15 Hannah Cheng,6,"2,7,9,11,15,17",2,4,2,3,8,4,7,5,3,0,1,1,0,0,0,0,0,0,69.84,15.67,9.98,2.24,51.85,27.48,10.37,5.50
23 Marie Zarazoga,6,"5,6,9,13,14,16",0,6,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.40,1.58,9.40,1.58,10.06,-3.92,10.06,-3.92
26 Rhea Joshi,6,"3,5,7,9,13,15",0,6,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.79,14.77,14.79,14.77,17.95,12.07,17.95,12.07
07 Annie Phan,4,"6,8,10,14",1,3,1,3,5,3,5,3,2,0,0,0,0,0,0,0,0,0,57.81,30.51,11.56,6.10,36.40,-21.96,12.13,-7.32
17 Rufus Caitlin Duffner,4,"2,5,10,11",3,1,3,1,9,3,9,9,0,1,1,0,1,1,0,0,0,0,74.05,34.23,9.26,4.28,114.40,94.79,12.71,10.53
72 JJ Jarik,4,"2,7,10,17",2,2,2,2,7,4,7,6,1,2,0,0,1,1,0,1,0,0,101.91,88.41,16.99,14.73,71.76,54.65,11.96,9.11
13 Grace Feehan,4,"2,9,11,15",2,2,2,1,3,1,2,3,0,0,0,1,0,0,0,0,0,0,19.72,-3.36,9.86,-1.68,47.38,29.44,15.79,9.81
09 Moose Lucy Petersen,4,"5,7,13,16",0,4,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,39.63,39.58,39.63,39.58
16 Sasha Baumann,4,"6,8,14,16",0,4,0,4,2,2,1,2,0,0,0,1,0,0,0,1,0,0,7.39,-7.34,7.39,-7.34,28.67,27.97,14.33,13.98
11 Letty Ho,4,"6,8,13,15",0,4,0,4,3,2,2,3,0,0,0,1,0,0,0,1,0,0,15.44,3.67,7.72,1.83,45.13,43.10,15.04,14.37
31 Abby Shure,3,"2,10,11",3,0,3,0,6,2,6,6,0,1,1,0,1,0,1,0,0,0,77.51,59.23,12.92,9.87,58.23,23.89,9.71,3.98
10 Steph Rupp,3,"2,10,11",3,0,3,0,8,3,8,7,1,0,0,0,2,2,0,0,0,0,64.51,48.75,10.75,8.13,75.40,33.27,10.77,4.75
05 Anna Thorn,3,"2,10,11",3,0,3,0,10,2,10,6,4,1,0,0,1,1,0,1,0,0,114.14,65.82,12.68,7.31,76.41,33.77,12.74,5.63
24 Anna Stubbs,2,"10,11",2,0,2,0,2,1,1,2,0,0,1,1,0,0,0,0,0,0,13.95,10.34,13.95,10.34,42.07,41.16,21.03,20.58
