Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-10-10 11:34:47,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-10-10 11:35:39,2,0,1,1,1,2,14,1,1,0,0,1,17 Rufus Caitlin Duffner,31 Abby Shure,15 Hannah Cheng
2025-10-10 11:38:59,3,1,1,0,1,4,11,3,3,0,3,1,,82 Claire Schmitt,27 Connie Chan
2025-10-10 11:44:32,4,2,1,0,1,1,1,0,0,0,0,1,,,
2025-10-10 11:44:41,5,3,1,0,1,1,2,0,0,0,0,1,82 Claire Schmitt,17 Rufus Caitlin Duffner,82 Claire Schmitt
2025-10-10 11:46:36,6,4,1,0,1,1,4,0,0,0,1,0,08 PJ Maddi Lang,25 Ducky Tewodros,16 Sasha Baumann
2025-10-10 11:49:05,7,5,1,0,1,1,4,0,0,0,0,1,15 Hannah Cheng,72 JJ Jarik,08 PJ Maddi Lang
2025-10-10 11:51:02,8,6,1,0,1,1,5,0,0,0,0,1,21 Sowmya Ragothaman,82 Claire Schmitt,11 Letty Ho
2025-10-10 11:54:12,9,7,1,0,0,0,0,0,0,0,0,0,,,
2025-10-10 11:55:40,10,7,2,1,1,1,4,0,0,0,0,0,24 Anna Stubbs,72 JJ Jarik,24 Anna Stubbs
2025-10-10 11:56:47,11,8,2,1,1,4,23,3,3,1,1,2,31 Abby Shure,05 Anna Thorn,13 Grace Feehan
2025-10-10 12:05:28,12,9,2,0,1,1,4,0,0,0,1,0,82 Claire Schmitt,21 Sowmya Ragothaman,06 Kylie Chesner
2025-10-10 12:07:52,13,10,2,0,1,1,9,0,0,0,0,1,29 Jade Hostein,82 Claire Schmitt,09 Moose Lucy Petersen
2025-10-10 12:10:41,14,11,2,0,1,1,9,0,0,0,0,1,27 Connie Chan,08 PJ Maddi Lang,06 Kylie Chesner
2025-10-10 12:14:36,15,12,2,0,1,1,2,0,0,0,1,0,82 Claire Schmitt,29 Jade Hostein,21 Sowmya Ragothaman
2025-10-10 12:18:45,16,13,2,0,1,1,1,0,0,0,0,1,,82 Claire Schmitt,25 Ducky Tewodros
2025-10-10 12:20:11,17,14,2,0,1,2,11,1,1,0,1,1,06 Kylie Chesner,82 Claire Schmitt,29 Jade Hostein
2025-10-10 12:23:05,18,15,2,0,0,0,0,0,0,0,0,0,,,
