Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-10-10 11:36:19,2,1,1,0,0.3191197,0.7152318,05 Anna Thorn,6,,,,17 Rufus Caitlin Duffner,,
2025-10-10 11:37:58,2,2,1,1,0.47042644,0.7809475,05 Anna Thorn,8,17 Rufus Caitlin Duffner,31 Abby Shure,15 Hannah Cheng,,,
2025-10-10 11:40:35,3,1,0,0,0.7777778,0.8415439,29 Jade Hostein,1,,,,29 Jade Hostein,,
2025-10-10 11:41:19,3,2,0,0,0.28610724,0.82272035,82 Claire Schmitt,4,,,,06 Kylie Chesner,,
2025-10-10 11:42:27,3,3,0,0,0.7599451,0.52513963,06 Kylie Chesner,5,,,,82 Claire Schmitt,,
2025-10-10 11:44:21,3,4,0,1,0.6354883,0.33571064,82 Claire Schmitt,1,,82 Claire Schmitt,27 Connie Chan,,,
2025-10-10 11:44:40,4,1,0,1,0.517194,0.27407032,,1,,,,,,
2025-10-10 11:46:17,5,1,0,1,0.22420904,0.38410595,82 Claire Schmitt,2,82 Claire Schmitt,17 Rufus Caitlin Duffner,82 Claire Schmitt,,,
2025-10-10 11:48:27,6,1,0,1,0.2255846,0.32093734,08 PJ Maddi Lang,4,08 PJ Maddi Lang,25 Ducky Tewodros,16 Sasha Baumann,,,
2025-10-10 11:50:34,7,1,0,1,0.115543306,0.3392766,15 Hannah Cheng,4,15 Hannah Cheng,72 JJ Jarik,08 PJ Maddi Lang,,,
2025-10-10 11:53:39,8,1,0,1,0.6712517,0.5593479,82 Claire Schmitt,5,21 Sowmya Ragothaman,82 Claire Schmitt,11 Letty Ho,,,
2025-10-10 11:56:16,10,1,1,1,0.33837694,0.7218543,07 Annie Phan,4,24 Anna Stubbs,72 JJ Jarik,24 Anna Stubbs,,,
2025-10-10 11:58:28,11,1,1,0,0.84594226,0.6678553,15 Hannah Cheng,7,,,,05 Anna Thorn,,
2025-10-10 12:00:45,11,2,1,0,0.09353507,0.6765155,05 Anna Thorn,3,,,,10 Steph Rupp,,
2025-10-10 12:02:41,11,3,1,0,0.735901,0.8201732,10 Steph Rupp,8,,,,10 Steph Rupp,31 Abby Shure,
2025-10-10 12:04:41,11,4,1,1,0.3191197,0.8242486,05 Anna Thorn,5,31 Abby Shure,05 Anna Thorn,13 Grace Feehan,,,
2025-10-10 12:07:23,12,1,0,1,0.32921812,0.7196546,27 Connie Chan,4,82 Claire Schmitt,21 Sowmya Ragothaman,06 Kylie Chesner,,,
2025-10-10 12:09:15,13,1,0,1,0.6327373,0.6943454,82 Claire Schmitt,9,29 Jade Hostein,82 Claire Schmitt,09 Moose Lucy Petersen,,,
2025-10-10 12:12:45,14,1,0,1,0.84044015,0.5002547,07 Annie Phan,9,27 Connie Chan,08 PJ Maddi Lang,06 Kylie Chesner,,,
2025-10-10 12:18:24,15,1,0,1,0.33012384,0.3178808,82 Claire Schmitt,2,82 Claire Schmitt,29 Jade Hostein,21 Sowmya Ragothaman,,,
2025-10-10 12:20:03,16,1,0,1,0.34250343,0.2531839,82 Claire Schmitt,1,,82 Claire Schmitt,25 Ducky Tewodros,,,
2025-10-10 12:21:26,17,1,0,0,0.20220087,0.82934284,15 Hannah Cheng,5,,,,72 JJ Jarik,,
2025-10-10 12:22:34,17,2,0,1,0.29355285,0.50787205,72 JJ Jarik,6,06 Kylie Chesner,82 Claire Schmitt,29 Jade Hostein,,,
