Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-10 17:57:42,1,1,27 Connie Chan,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,1,0,8.917507,3.1995952,8.323732,0.8600823,0.8801422,0.6351166,0.84814626
2025-10-10 17:57:54,1,1,82 Claire Schmitt,25 Ducky Tewodros,0,0,0,0,0,0,0,0,0,0,0,20.767035,19.959372,-5.735255,0.6351166,0.84814626,0.79012346,0.64855254
2025-10-10 17:58:01,1,1,25 Ducky Tewodros,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,16.02403,15.997967,0.9135797,0.79012346,0.64855254,0.7654321,0.48857287
2025-10-10 17:58:22,1,1,27 Connie Chan,21 Sowmya Ragothaman,0,0,0,0,0,0,0,1,0,0,0,13.8501425,1.6251892,13.754461,0.7654321,0.48857287,0.39368993,0.47232097
2025-10-10 17:58:31,1,1,21 Sowmya Ragothaman,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,11.488398,8.176738,-8.069959,0.39368993,0.47232097,0.6117969,0.3905536
2025-10-10 17:58:42,1,1,08 PJ Maddi Lang,29 Jade Hostein,1,1,1,0,0,0,0,0,0,0,0,13.765881,10.766888,-8.577505,0.6117969,0.3905536,0.8436214,0.28288472
2025-10-10 18:00:10,2,1,15 Hannah Cheng,05 Anna Thorn,0,0,0,0,0,0,0,0,0,0,0,7.9541078,4.1772785,6.7689123,0.6629986,0.7997962,0.48005503,0.75802344
2025-10-10 18:00:18,2,1,05 Anna Thorn,15 Hannah Cheng,0,0,0,0,0,0,0,0,0,0,0,10.332004,-0.10188222,-10.331501,0.48005503,0.75802344,0.7592848,0.75904226
2025-10-10 18:00:21,2,1,15 Hannah Cheng,05 Anna Thorn,0,0,0,0,0,0,0,0,1,0,0,7.3473315,-1.3245046,7.2269616,0.7592848,0.75904226,0.5639615,0.7722873
2025-10-10 18:00:27,2,1,05 Anna Thorn,07 Annie Phan,0,0,0,0,0,0,0,1,0,0,0,15.372682,6.469691,13.944979,0.5639615,0.7722873,0.18707018,0.7075904
2025-10-10 18:00:32,2,1,07 Annie Phan,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,1,9.568116,9.06775,3.0536454,0.18707018,0.7075904,0.10453922,0.6169129
2025-10-10 18:00:36,2,1,72 JJ Jarik,05 Anna Thorn,0,0,0,0,0,0,0,0,0,1,0,8.642036,4.8904715,-7.1251726,0.10453922,0.6169129,0.29711145,0.5680082
2025-10-10 18:00:45,2,1,05 Anna Thorn,17 Rufus Caitlin Duffner,0,0,0,0,0,0,1,0,0,0,0,36.10401,34.02955,-12.061897,0.29711145,0.5680082,0.6231087,0.22771269
