Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
82 Claire Schmitt,11,"1,3,6,9,10,13,15,17,18,19,20",8,3,4,0,36,10,36,25,11,3,0,0,4,4,0,1,0,0,399.48,161.27,12.89,5.20,194.38,28.87,7.78,1.15
21 Sowmya Ragothaman,10,"1,4,6,7,9,13,15,16,18,20",4,6,2,0,19,7,19,17,2,0,0,0,2,2,0,0,0,0,131.11,43.28,8.19,2.70,167.09,41.67,9.83,2.45
72 JJ Jarik,8,"2,3,6,8,10,12,15,19",8,0,4,0,7,5,7,7,0,0,0,0,1,1,0,0,0,0,57.64,36.68,9.61,6.11,87.23,48.75,12.46,6.96
27 Connie Chan,8,"1,3,6,9,13,15,18,20",5,3,3,0,17,7,17,16,1,0,3,0,0,0,0,1,0,0,169.91,49.76,9.99,2.93,158.49,68.98,9.91,4.31
15 Hannah Cheng,8,"2,5,8,10,12,13,14,17",8,0,2,0,26,8,26,19,7,0,0,0,1,1,0,0,0,0,217.77,74.58,8.71,2.98,164.44,-2.90,8.65,-0.15
07 Annie Phan,8,"2,3,5,8,12,14,17,19",8,0,3,0,21,9,21,20,1,1,0,0,2,2,0,0,0,0,195.37,65.46,10.28,3.45,215.63,75.70,10.78,3.79
17 Rufus Caitlin Duffner,8,"2,5,7,10,13,15,17,20",7,1,2,0,9,5,7,9,0,0,0,2,1,0,1,1,0,0,60.08,-14.96,8.58,-2.14,114.67,92.51,12.74,10.28
24 Anna Stubbs,7,"3,5,8,10,14,17,20",7,0,3,0,13,5,12,13,0,0,1,1,2,2,0,1,0,0,68.21,26.69,6.82,2.67,167.59,102.80,12.89,7.91
29 Jade Hostein,7,"1,4,6,9,12,14,18",3,4,1,0,15,3,15,15,0,1,0,0,3,2,1,0,0,0,117.95,46.31,9.07,3.56,110.86,36.63,7.39,2.44
08 PJ Maddi Lang,7,"1,4,6,7,16,18,20",2,5,1,0,19,4,18,16,3,0,0,0,2,2,0,1,0,1,157.82,61.28,9.86,3.83,129.80,10.67,8.11,0.67
05 Anna Thorn,7,"2,5,8,10,12,14,19",7,0,1,0,25,7,24,18,7,0,0,1,3,2,1,0,0,0,262.20,143.96,11.92,6.54,162.28,65.87,9.02,3.66
18 Kendra Griesman,6,"2,3,6,8,14,19",6,0,3,0,7,4,6,7,0,0,0,1,1,0,1,1,0,0,48.52,4.64,8.09,0.77,85.92,67.60,12.27,9.66
31 Abby Shure,6,"2,5,10,12,15,19",6,0,1,0,3,2,3,3,0,0,0,0,3,2,1,0,0,0,10.65,10.65,10.65,10.65,40.59,30.64,13.53,10.21
06 Kylie Chesner,5,"1,4,7,13,16",1,4,0,0,7,2,7,7,0,0,0,0,0,0,0,0,0,0,40.13,-4.43,5.73,-0.63,61.17,21.40,8.74,3.06
26 Rhea Joshi,5,"4,7,9,16,18",0,5,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,18.36,-0.31,9.18,-0.15,33.61,8.76,16.81,4.38
13 Grace Feehan,4,"5,8,14,17",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25 Ducky Tewodros,3,"1,15,20",2,1,1,0,4,3,4,4,0,0,0,0,0,0,0,0,0,0,37.45,23.49,9.36,5.87,62.44,41.86,15.61,10.47
12 Lizzie Tilden,3,"4,7,16",0,3,0,0,6,1,6,6,0,0,0,0,1,1,0,0,0,0,69.48,27.66,13.90,5.53,47.41,-10.75,7.90,-1.79
11 Letty Ho,3,"7,16,18",0,3,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,14.00,-13.75,7.00,-6.88,28.30,17.68,14.15,8.84
99 Dana Demmert,3,"4,9,16",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09 Moose Lucy Petersen,2,"12,17",2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.11,8.10,9.11,8.10,8.04,5.35,8.04,5.35
16 Sasha Baumann,2,"13,19",2,0,0,0,5,2,5,5,0,0,0,0,1,1,0,0,0,0,24.09,22.11,8.03,7.37,54.05,38.16,10.81,7.63
23 Marie Zarazoga,1,9,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,12.04,3.72,12.04,3.72
88 Catherine Chen,1,3,1,0,1,0,6,2,6,5,1,0,0,0,1,1,0,0,0,0,47.95,10.34,9.59,2.07,51.26,-11.16,10.25,-2.23
