Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-10-10 17:55:48,1,0,0,0,0,1,6,1,1,1,1,0,,,
2025-10-10 17:59:26,2,0,1,1,0,1,9,1,1,0,0,0,,,
2025-10-10 18:02:08,3,0,2,1,1,2,5,1,1,0,1,0,27 Connie Chan,82 Claire Schmitt,24 Anna Stubbs
2025-10-10 18:04:53,4,1,2,0,0,0,0,0,0,0,0,0,,,
2025-10-10 18:06:24,5,1,3,1,0,1,5,1,1,0,0,0,,,
2025-10-10 18:07:54,6,1,4,1,1,2,15,1,1,0,0,1,27 Connie Chan,29 Jade Hostein,18 Kendra Griesman
2025-10-10 18:11:06,7,2,4,0,0,2,22,2,2,0,0,2,,,
2025-10-10 18:15:49,8,2,5,1,1,1,10,0,0,0,0,0,24 Anna Stubbs,07 Annie Phan,05 Anna Thorn
2025-10-10 18:18:31,9,3,5,0,0,1,7,1,1,0,0,1,,,
2025-10-10 18:20:55,10,3,6,1,0,2,14,2,2,0,0,1,,,
2025-10-10 18:25:47,11,3,7,1,0,1,1,1,1,1,0,0,,,
2025-10-10 18:26:13,12,3,8,1,0,2,17,2,2,1,0,1,,,
2025-10-10 18:33:59,13,3,9,1,0,2,33,2,2,0,1,0,,,
2025-10-10 18:40:19,14,3,10,1,0,4,40,4,4,0,1,2,,,
2025-10-10 18:50:57,15,3,11,1,1,1,12,0,0,0,0,0,27 Connie Chan,82 Claire Schmitt,17 Rufus Caitlin Duffner
2025-10-10 18:52:52,16,4,11,0,0,0,0,0,0,0,0,0,,,
2025-10-10 18:53:37,17,4,12,1,1,3,6,2,2,0,1,1,,82 Claire Schmitt,17 Rufus Caitlin Duffner
2025-10-10 18:56:18,18,5,12,0,0,0,0,0,0,0,0,0,,,
2025-10-10 19:12:04,19,5,13,1,0,3,12,3,2,2,0,2,,,
2025-10-10 19:18:02,20,5,14,1,0,5,32,4,2,2,2,2,,,
2025-10-10 19:26:58,21,5,15,1,0,0,0,0,0,0,0,0,,,
