Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-10-10 17:57:22,1,1,0,0,0.8600823,0.8801422,27 Connie Chan,6,,,,08 PJ Maddi Lang,29 Jade Hostein,
2025-10-10 18:00:07,2,1,1,0,0.6629986,0.7997962,15 Hannah Cheng,9,,,,31 Abby Shure,,
2025-10-10 18:03:01,3,1,1,0,0.26134795,0.6607234,88 Catherine Chen,1,,,,88 Catherine Chen,,
2025-10-10 18:04:17,3,2,1,1,0.28610724,0.72949564,82 Claire Schmitt,4,27 Connie Chan,82 Claire Schmitt,24 Anna Stubbs,,,
2025-10-10 18:06:49,5,1,1,0,0.71114165,0.70198673,15 Hannah Cheng,5,,,,05 Anna Thorn,,
2025-10-10 18:08:23,6,1,1,0,0.61348003,0.7890983,08 PJ Maddi Lang,6,,,,82 Claire Schmitt,,
2025-10-10 18:09:32,6,2,1,1,0.48418158,0.8094753,82 Claire Schmitt,9,27 Connie Chan,29 Jade Hostein,18 Kendra Griesman,,,
2025-10-10 18:12:14,7,1,0,0,0.100412615,0.4712175,08 PJ Maddi Lang,14,,,,08 PJ Maddi Lang,,
2025-10-10 18:13:58,7,2,0,0,0.14993118,0.33163524,08 PJ Maddi Lang,8,,,,12 Lizzie Tilden,,
2025-10-10 18:16:20,8,1,1,1,0.53370017,0.63983697,05 Anna Thorn,10,24 Anna Stubbs,07 Annie Phan,05 Anna Thorn,,,
2025-10-10 18:19:41,9,1,0,0,0.37138924,0.8206826,82 Claire Schmitt,7,,,,23 Marie Zarazoga,,
2025-10-10 18:21:23,10,1,1,0,0.6685007,0.79317373,15 Hannah Cheng,6,,,,07 Annie Phan,,
2025-10-10 18:24:16,10,2,1,0,0.22008255,0.8262863,05 Anna Thorn,8,,,,31 Abby Shure,,
2025-10-10 18:26:04,11,1,1,0,0.522696,0.5404992,,1,,,,,,
2025-10-10 18:27:02,12,1,1,0,0.38651994,0.777891,15 Hannah Cheng,12,,,,72 JJ Jarik,,
2025-10-10 18:28:40,12,2,1,0,0.18431912,0.81864494,15 Hannah Cheng,5,,,,29 Jade Hostein,05 Anna Thorn,
2025-10-10 18:34:27,13,1,1,0,0.8528198,0.56647986,82 Claire Schmitt,5,,,,82 Claire Schmitt,,
2025-10-10 18:35:26,13,2,1,0,0.2035763,0.8135507,82 Claire Schmitt,28,,,,21 Sowmya Ragothaman,,
2025-10-10 18:40:50,14,1,1,0,0.43603852,0.73866534,15 Hannah Cheng,13,,,,07 Annie Phan,,
2025-10-10 18:44:58,14,2,1,0,0.9229711,0.828324,05 Anna Thorn,12,,,,24 Anna Stubbs,,
2025-10-10 18:47:17,14,3,1,0,0.18569468,0.8308711,05 Anna Thorn,8,,,,29 Jade Hostein,,
2025-10-10 18:49:05,14,4,1,0,0.2008253,0.82272035,05 Anna Thorn,7,,,,24 Anna Stubbs,,
2025-10-10 18:51:31,15,1,1,1,0.85832185,0.4712175,21 Sowmya Ragothaman,12,27 Connie Chan,82 Claire Schmitt,17 Rufus Caitlin Duffner,,,
2025-10-10 18:54:12,17,1,1,0,0.88308114,0.59959245,15 Hannah Cheng,2,,,,82 Claire Schmitt,,
2025-10-10 18:55:20,17,2,1,0,0.60522693,0.34131432,82 Claire Schmitt,3,,,,15 Hannah Cheng,,
2025-10-10 18:56:10,17,3,1,1,0.5955983,0.22924094,82 Claire Schmitt,1,,82 Claire Schmitt,17 Rufus Caitlin Duffner,,,
2025-10-10 19:13:09,19,1,1,0,0.8885832,0.5552725,05 Anna Thorn,6,,,,16 Sasha Baumann,,
2025-10-10 19:15:19,19,2,1,0,0.73590094,0.815079,05 Anna Thorn,1,,,,05 Anna Thorn,31 Abby Shure,
2025-10-10 19:17:08,19,3,1,0,0.6024759,0.8298522,07 Annie Phan,5,,,,,18 Kendra Griesman,
2025-10-10 19:18:37,20,1,1,0,0.40027514,0.77890986,21 Sowmya Ragothaman,5,,,,,17 Rufus Caitlin Duffner,
2025-10-10 19:21:21,20,2,1,0,0.2173315,0.8201732,82 Claire Schmitt,10,,,,21 Sowmya Ragothaman,,
2025-10-10 19:23:34,20,3,1,0,0.21870705,0.7361182,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-10-10 19:23:56,20,4,1,0,0.7207703,0.8237392,82 Claire Schmitt,8,,,,,,08 PJ Maddi Lang
2025-10-10 19:25:57,20,5,1,0,0.68363136,0.83138055,82 Claire Schmitt,8,,,,,,
