Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-13 12:10:36,1,1,27 Connie Chan,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,12.154731,6.06215,10.535076,0.5020633,0.7198166,0.2173315,0.6591951
2025-10-13 12:10:42,1,1,82 Claire Schmitt,06 Kylie Chesner,0,0,0,0,0,1,1,0,0,0,0,39.572426,39.48039,-2.697387,0.2173315,0.6591951,0.29023385,0.26439124
2025-10-13 12:10:47,1,1,06 Kylie Chesner,29 Jade Hostein,0,0,0,1,1,0,0,0,0,0,0,11.975835,11.818645,1.9339755,0.29023385,0.26439124,0.23796424,0.1462048
2025-10-13 12:12:26,2,1,12 Lizzie Tilden,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,10.600792,0.5603671,10.585971,0.65887207,0.4457463,0.37276474,0.44014263
2025-10-13 12:12:31,2,1,08 PJ Maddi Lang,12 Lizzie Tilden,0,0,0,0,0,0,0,0,1,0,0,6.3422213,-5.2470713,3.5625854,0.37276474,0.44014263,0.27647865,0.49261335
2025-10-13 12:12:38,2,1,12 Lizzie Tilden,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,13.9091835,9.42435,-10.2297125,0.27647865,0.49261335,0.55295736,0.39836985
2025-10-13 12:13:08,2,1,27 Connie Chan,12 Lizzie Tilden,0,0,0,0,0,0,0,0,0,0,0,11.139785,2.0886421,10.942229,0.55295736,0.39836985,0.25722143,0.37748343
2025-10-13 12:13:25,2,1,12 Lizzie Tilden,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,4.9205375,-4.4319925,2.1375523,0.25722143,0.37748343,0.19944975,0.42180336
2025-10-13 12:13:29,2,1,08 PJ Maddi Lang,27 Connie Chan,0,0,0,0,0,1,0,0,0,0,0,13.597629,13.499745,1.6286092,0.19944975,0.42180336,0.15543328,0.2868059
2025-10-13 12:13:36,2,1,27 Connie Chan,26 Rhea Joshi,0,0,0,1,1,0,0,0,0,0,0,19.48156,19.460009,-0.9160938,0.15543328,0.2868059,0.18019257,0.09220581
2025-10-13 12:14:36,3,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,1,16.286064,13.4997425,9.11004,0.37001374,0.8237392,0.12379646,0.68874174
2025-10-13 12:14:41,3,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,1,1,6.154472,-6.113088,-0.71251595,0.12379646,0.68874174,0.14305365,0.7498726
2025-10-13 12:14:50,3,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,1,1,1,4.467211,-4.4319925,0.55983365,0.14305365,0.7498726,0.12792301,0.79419255
2025-10-13 12:15:00,3,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,1,0,1,0,12.957202,4.024452,-12.316366,0.12792301,0.79419255,0.4607978,0.75394803
2025-10-13 12:15:15,3,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,6.833923,3.7697375,-5.7001386,0.4607978,0.75394803,0.6148556,0.71625066
2025-10-13 12:15:25,3,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,5.62566,-5.3998947,-1.5777164,0.6148556,0.71625066,0.6574966,0.7702496
2025-10-13 12:16:12,3,1,82 Claire Schmitt,23 Marie Zarazoga,0,0,0,0,0,0,0,1,0,0,0,11.893722,-0.9169638,11.858322,0.6574966,0.7702496,0.33700138,0.77941924
2025-10-13 12:16:14,3,1,23 Marie Zarazoga,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,6.975467,0.2037704,-6.9724903,0.33700138,0.77941924,0.5254471,0.77738154
2025-10-13 12:16:21,3,1,29 Jade Hostein,23 Marie Zarazoga,0,0,0,0,0,0,0,0,0,0,0,7.171743,3.1074822,-6.4635477,0.5254471,0.77738154,0.70013756,0.7463067
2025-10-13 12:16:26,3,1,23 Marie Zarazoga,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,1,7.9010797,4.075396,-6.7689147,0.70013756,0.7463067,0.8830812,0.70555276
2025-10-13 12:16:32,3,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,1,1,7.63398,7.590425,0.8143071,0.8830812,0.70555276,0.8610729,0.6296485
2025-10-13 12:16:38,3,1,82 Claire Schmitt,09 Moose Lucy Petersen,0,0,0,0,0,0,0,0,0,1,1,15.640224,15.588385,-1.272354,0.8610729,0.6296485,0.89546084,0.47376466
2025-10-13 12:16:43,3,1,09 Moose Lucy Petersen,11 Letty Ho,0,0,0,0,0,0,0,0,0,1,1,12.232963,12.226185,0.40715355,0.89546084,0.47376466,0.8844567,0.3515028
2025-10-13 12:16:50,3,1,11 Letty Ho,09 Moose Lucy Petersen,0,0,0,0,0,0,0,0,0,1,1,14.219038,14.161997,1.2723517,0.8844567,0.3515028,0.8500688,0.20988284
2025-10-13 12:16:59,3,1,09 Moose Lucy Petersen,29 Jade Hostein,0,0,0,0,0,0,0,0,1,1,0,8.649305,-3.3112571,7.990373,0.8500688,0.20988284,0.6341128,0.24299541
2025-10-13 12:17:05,3,1,29 Jade Hostein,15 Hannah Cheng,1,1,0,1,0,0,0,0,0,0,0,13.090833,12.124298,-4.9367294,0.6341128,0.24299541,0.7675379,0.121752426
2025-10-13 12:17:25,3,2,23 Marie Zarazoga,15 Hannah Cheng,0,0,0,0,0,0,0,0,0,0,0,8.780669,0.050786138,-8.780522,0.24554186,0.2925343,0.48285326,0.29202643
2025-10-13 12:17:33,3,2,15 Hannah Cheng,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,8.329306,0.30472577,-8.3237295,0.48285326,0.29202643,0.7078189,0.28897917
2025-10-13 12:17:43,3,2,29 Jade Hostein,09 Moose Lucy Petersen,1,1,0,0,0,0,0,1,0,0,0,13.315339,1.7775506,13.196157,0.7078189,0.28897917,0.351166,0.27120367
2025-10-13 12:18:22,3,3,82 Claire Schmitt,26 Rhea Joshi,0,0,0,0,0,0,0,0,0,0,0,10.912377,2.6490092,-10.585969,0.21045396,0.66530824,0.49656123,0.63881814
2025-10-13 12:18:26,3,3,26 Rhea Joshi,15 Hannah Cheng,0,0,0,0,0,0,0,0,0,0,0,9.310904,4.12634,-8.346631,0.49656123,0.63881814,0.72214586,0.59755474
