Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
82 Claire Schmitt,11,"1,3,6,7,10,13,15,17,18,20,22",4,7,2,4,21,9,21,13,8,3,1,0,3,3,0,0,0,0,274.99,199.11,15.28,11.06,124.05,52.37,9.54,4.03
27 Connie Chan,11,"1,2,4,6,7,10,13,17,18,19,22",5,6,3,4,14,8,14,13,1,1,2,0,0,0,0,2,0,0,153.14,57.70,10.94,4.12,125.36,58.15,9.64,4.47
15 Hannah Cheng,10,"3,8,10,12,14,16,17,19,21,22",8,2,5,1,25,9,24,18,7,1,1,1,4,3,1,0,0,0,201.24,72.29,9.58,3.44,181.76,40.59,10.10,2.26
21 Sowmya Ragothaman,9,"1,2,4,6,7,11,13,15,20",0,9,0,5,5,4,3,5,0,0,1,2,1,1,0,0,0,0,20.91,16.51,10.45,8.25,83.06,57.87,16.61,11.57
07 Annie Phan,9,"5,9,11,14,16,17,19,21,22",8,1,4,1,15,6,14,11,4,1,0,1,1,1,0,0,0,0,136.99,50.21,10.54,3.86,96.21,49.55,8.75,4.50
72 JJ Jarik,9,"3,7,9,10,12,16,17,19,22",7,2,4,2,8,5,6,7,1,0,0,2,1,1,0,1,0,0,53.73,39.21,10.75,7.84,85.03,49.82,12.15,7.12
17 Rufus Caitlin Duffner,8,"5,9,10,12,14,16,17,21",8,0,4,0,7,4,7,7,0,0,0,0,1,1,0,0,0,0,37.56,2.70,7.51,0.54,74.82,48.65,10.69,6.95
08 PJ Maddi Lang,8,"1,2,4,6,7,11,15,19",1,7,1,5,6,4,6,6,0,1,2,0,0,0,0,0,0,0,65.32,31.69,10.89,5.28,50.58,9.53,8.43,1.59
29 Jade Hostein,8,"1,3,6,7,11,18,20,22",2,6,1,5,20,6,18,20,0,1,1,2,3,3,0,0,0,0,129.63,61.31,8.64,4.09,196.92,105.42,9.85,5.27
31 Abby Shure,7,"5,9,12,14,17,19,21",7,0,4,0,9,5,9,9,0,2,0,0,0,0,0,0,0,0,107.62,81.92,11.96,9.10,105.10,76.82,11.68,8.54
06 Kylie Chesner,7,"1,2,4,7,11,13,20",0,7,0,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,11.98,11.82,11.98,11.82,39.57,39.48,39.57,39.48
13 Grace Feehan,7,"5,8,10,14,16,18,21",6,1,3,0,3,2,3,2,1,0,0,0,0,0,0,1,0,0,33.67,15.69,11.22,5.23,26.36,18.39,13.18,9.20
12 Lizzie Tilden,5,"2,4,8,13,20",0,5,0,1,3,1,3,2,1,0,0,0,0,0,0,1,0,0,29.43,5.55,9.81,1.85,17.48,-3.16,8.74,-1.58
99 Dana Demmert,5,"2,4,8,13,20",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11 Letty Ho,5,"6,8,13,15,20",0,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.22,14.16,14.22,14.16,12.23,12.23,12.23,12.23
18 Kendra Griesman,5,"5,12,16,18,22",5,0,3,0,6,4,3,5,1,0,1,3,1,1,0,1,0,0,14.14,7.63,7.07,3.82,78.47,67.63,15.69,13.53
05 Anna Thorn,5,"5,10,12,16,18",5,0,3,0,10,5,10,9,1,1,0,0,1,1,0,0,0,0,94.65,61.28,10.52,6.81,72.21,8.66,8.02,0.96
26 Rhea Joshi,5,"2,3,6,11,15",0,5,0,4,4,3,3,4,0,0,0,1,0,0,0,1,0,0,31.90,26.64,10.63,8.88,59.01,50.64,14.75,12.66
24 Anna Stubbs,4,"9,14,19,21",4,0,2,0,5,4,4,5,0,0,2,0,0,0,0,0,0,1,39.23,11.97,9.81,2.99,60.38,40.65,12.08,8.13
88 Catherine Chen,4,"9,14,18,21",4,0,1,0,6,3,6,4,2,0,0,0,1,1,0,0,0,0,44.54,17.42,8.91,3.48,34.77,7.17,8.69,1.79
25 Ducky Tewodros,4,"1,8,11,15",0,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.11,-1.63,10.11,-1.63,10.93,10.90,10.93,10.90
10 Steph Rupp,3,"5,9,12",3,0,2,0,5,3,5,4,1,0,1,0,0,0,0,0,0,0,56.71,36.53,11.34,7.31,31.67,-0.20,7.92,-0.05
23 Marie Zarazoga,2,"3,8",0,2,0,1,3,1,3,2,1,0,0,0,0,0,0,1,0,0,23.66,4.33,7.89,1.44,19.07,2.19,9.53,1.10
09 Moose Lucy Petersen,2,"3,15",0,2,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,20.88,8.91,10.44,4.46,29.86,29.75,14.93,14.88
16 Sasha Baumann,1,4,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,8.65,0.15,8.65,0.15,0.00,0.00,0.00,0.00
