Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-10-13 12:09:27,1,0,0,0,1,1,3,0,0,0,1,0,82 Claire Schmitt,06 Kylie Chesner,29 Jade Hostein
2025-10-13 12:10:49,2,1,0,0,1,1,7,0,0,0,1,0,08 PJ Maddi Lang,27 Connie Chan,26 Rhea Joshi
2025-10-13 12:13:38,3,2,0,0,1,3,26,2,2,0,1,2,29 Jade Hostein,82 Claire Schmitt,72 JJ Jarik
2025-10-13 12:19:15,4,3,0,0,0,1,3,1,1,0,1,0,,,
2025-10-13 12:21:08,5,3,1,1,1,2,11,1,1,0,0,1,10 Steph Rupp,07 Annie Phan,18 Kendra Griesman
2025-10-13 12:25:29,6,4,1,0,1,1,4,0,0,0,0,1,27 Connie Chan,82 Claire Schmitt,21 Sowmya Ragothaman
2025-10-13 12:27:46,7,5,1,0,1,2,4,1,1,0,0,2,08 PJ Maddi Lang,29 Jade Hostein,21 Sowmya Ragothaman
2025-10-13 12:30:03,8,6,1,0,0,0,0,0,0,0,0,0,,,
2025-10-13 12:38:56,9,6,2,1,0,1,2,0,0,0,0,0,,,
2025-10-13 12:47:51,10,6,3,1,1,1,18,0,0,0,0,0,27 Connie Chan,15 Hannah Cheng,72 JJ Jarik
2025-10-13 12:51:50,11,7,3,0,1,1,6,0,0,0,1,0,21 Sowmya Ragothaman,08 PJ Maddi Lang,29 Jade Hostein
2025-10-13 12:55:04,12,8,3,1,1,1,6,0,0,0,0,0,18 Kendra Griesman,05 Anna Thorn,18 Kendra Griesman
2025-10-13 12:57:02,13,9,3,0,0,0,0,0,0,0,0,0,,,
2025-10-13 12:58:43,14,9,4,1,1,3,21,2,1,1,1,1,24 Anna Stubbs,31 Abby Shure,07 Annie Phan
2025-10-13 13:05:26,15,10,4,0,0,0,0,0,0,0,0,0,,,
2025-10-13 13:06:23,16,10,5,1,0,1,3,1,1,0,0,0,,,
2025-10-13 13:08:12,17,10,6,1,0,1,5,1,1,0,0,0,,,
2025-10-13 13:11:15,18,10,7,1,0,3,6,3,3,0,2,0,,,
2025-10-13 13:14:29,19,10,8,1,1,1,8,0,0,0,0,0,24 Anna Stubbs,31 Abby Shure,15 Hannah Cheng
2025-10-13 13:16:21,20,11,8,0,0,2,5,2,2,0,1,1,,,
2025-10-13 13:20:33,21,11,9,1,0,2,11,2,2,0,0,1,,,
2025-10-13 13:26:25,22,11,10,1,1,2,19,1,1,0,1,0,15 Hannah Cheng,82 Claire Schmitt,18 Kendra Griesman
2025-10-13 13:32:17,23,12,10,0,0,0,0,0,0,0,0,0,,,
