Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-10-13 12:10:33,1,1,0,1,0.5020633,0.7198166,27 Connie Chan,3,82 Claire Schmitt,06 Kylie Chesner,29 Jade Hostein,,,
2025-10-13 12:12:21,2,1,0,1,0.65887207,0.4457463,12 Lizzie Tilden,7,08 PJ Maddi Lang,27 Connie Chan,26 Rhea Joshi,,,
2025-10-13 12:14:30,3,1,0,0,0.37001374,0.8237392,82 Claire Schmitt,16,,,,29 Jade Hostein,,
2025-10-13 12:17:16,3,2,0,0,0.24554186,0.2925343,23 Marie Zarazoga,3,,,,29 Jade Hostein,,
2025-10-13 12:17:54,3,3,0,1,0.21045396,0.66530824,82 Claire Schmitt,7,29 Jade Hostein,82 Claire Schmitt,72 JJ Jarik,,,
2025-10-13 12:20:31,4,1,0,0,0.15130673,0.5084055,16 Sasha Baumann,3,,,,21 Sowmya Ragothaman,,
2025-10-13 12:22:44,5,1,1,0,0.35900968,0.68976057,10 Steph Rupp,5,,,,18 Kendra Griesman,,
2025-10-13 12:24:07,5,2,1,1,0.34525448,0.61232805,07 Annie Phan,6,10 Steph Rupp,07 Annie Phan,18 Kendra Griesman,,,
2025-10-13 12:27:10,6,1,0,1,0.1939477,0.8308711,82 Claire Schmitt,4,27 Connie Chan,82 Claire Schmitt,21 Sowmya Ragothaman,,,
2025-10-13 12:28:39,7,1,0,0,0.6547455,0.6118187,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-10-13 12:29:19,7,2,0,1,0.9642366,0.47936833,82 Claire Schmitt,3,08 PJ Maddi Lang,29 Jade Hostein,21 Sowmya Ragothaman,,,
2025-10-13 12:45:07,9,1,1,0,0.37551585,0.69332653,07 Annie Phan,2,,,,,,24 Anna Stubbs
2025-10-13 12:48:28,10,1,1,1,0.47042638,0.64085585,15 Hannah Cheng,18,27 Connie Chan,15 Hannah Cheng,72 JJ Jarik,,,
2025-10-13 12:54:20,11,1,0,1,0.34387898,0.58634746,07 Annie Phan,6,21 Sowmya Ragothaman,08 PJ Maddi Lang,29 Jade Hostein,,,
2025-10-13 12:55:59,12,1,1,1,0.63686377,0.6087621,15 Hannah Cheng,6,18 Kendra Griesman,05 Anna Thorn,18 Kendra Griesman,,,
2025-10-13 12:59:14,14,1,1,0,0.37276474,0.64645946,07 Annie Phan,4,,,,,15 Hannah Cheng,
2025-10-13 13:00:55,14,2,1,0,0.5488308,0.57310236,13 Grace Feehan,11,,,,15 Hannah Cheng,,
2025-10-13 13:03:50,14,3,1,1,0.0,0.55374426,15 Hannah Cheng,6,24 Anna Stubbs,31 Abby Shure,07 Annie Phan,,,
2025-10-13 13:06:43,16,1,1,0,0.35213202,0.66428936,15 Hannah Cheng,3,,,,17 Rufus Caitlin Duffner,,
2025-10-13 13:08:47,17,1,1,0,0.6231087,0.70809984,15 Hannah Cheng,5,,,,72 JJ Jarik,,
2025-10-13 13:11:46,18,1,1,0,0.32462174,0.6051961,88 Catherine Chen,2,,,,82 Claire Schmitt,,
2025-10-13 13:12:23,18,2,1,0,0.8175582,0.49111223,18 Kendra Griesman,3,,,,88 Catherine Chen,,
2025-10-13 13:13:45,18,3,1,0,0.34250343,0.2679572,05 Anna Thorn,1,,,,05 Anna Thorn,,
2025-10-13 13:15:19,19,1,1,1,0.519945,0.6001019,15 Hannah Cheng,8,24 Anna Stubbs,31 Abby Shure,15 Hannah Cheng,,,
2025-10-13 13:17:40,20,1,0,0,0.74415404,0.6041773,82 Claire Schmitt,4,,,,29 Jade Hostein,,
2025-10-13 13:19:10,20,2,0,0,0.49105912,0.19103412,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-10-13 13:20:59,21,1,1,0,0.85557085,0.6479878,88 Catherine Chen,10,,,,15 Hannah Cheng,,
2025-10-13 13:25:14,21,2,1,0,0.59009635,0.8257769,15 Hannah Cheng,1,,,,15 Hannah Cheng,,
2025-10-13 13:26:54,22,1,1,0,0.3590096,0.50585836,82 Claire Schmitt,4,,,,07 Annie Phan,,
2025-10-13 13:29:00,22,2,1,1,0.23319612,0.420518,72 JJ Jarik,15,15 Hannah Cheng,82 Claire Schmitt,18 Kendra Griesman,,,
