Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-13 11:29:34,1,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,0,0,0,0,0,0,10.073642,9.322464,-3.8170564,0.2874828,0.46204787,0.3906465,0.36882323
2025-10-13 11:29:41,1,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,1,0,0,6.157347,-3.3112555,5.191196,0.3906465,0.36882323,0.2503439,0.4019358
2025-10-13 11:29:45,1,1,82 Claire Schmitt,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,1,10.848757,8.558327,6.667126,0.2503439,0.4019358,0.070151284,0.31635252
2025-10-13 11:30:00,1,1,27 Connie Chan,82 Claire Schmitt,1,1,0,0,0,0,0,0,1,1,1,6.9819875,-6.9281726,-0.86520016,0.070151284,0.31635252,0.09353507,0.38563424
2025-10-13 11:30:30,1,2,27 Connie Chan,82 Claire Schmitt,0,0,0,0,0,1,0,1,0,0,0,15.367793,6.673461,-13.843192,0.31911963,0.6668365,0.69325995,0.6001019
2025-10-13 11:30:35,1,2,82 Claire Schmitt,06 Kylie Chesner,0,0,0,1,1,0,1,0,0,0,0,45.64468,45.644424,-0.1526823,0.69325995,0.6001019,0.6973865,0.14365765
2025-10-13 11:32:10,2,1,08 PJ Maddi Lang,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,1,0,0,6.611942,-1.4728278,6.445817,0.49931416,0.35804978,0.3251029,0.37277806
2025-10-13 11:32:16,2,1,21 Sowmya Ragothaman,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,0,0,5.404629,-2.5393605,4.770919,0.3251029,0.37277806,0.19615914,0.39817166
2025-10-13 11:32:22,2,1,08 PJ Maddi Lang,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,1,0,0,8.038305,-3.7582517,-7.1056247,0.19615914,0.39817166,0.38820305,0.43575418
2025-10-13 11:32:25,2,1,21 Sowmya Ragothaman,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,10.159958,6.551549,-7.765433,0.38820305,0.43575418,0.5980796,0.3702387
2025-10-13 11:32:31,2,1,08 PJ Maddi Lang,23 Marie Zarazoga,0,0,0,0,0,0,0,0,0,0,0,10.083726,4.7739954,8.882032,0.5980796,0.3702387,0.3580247,0.32249874
2025-10-13 11:32:37,2,1,23 Marie Zarazoga,99 Dana Demmert,0,0,0,0,0,1,0,0,0,0,0,10.443395,8.176741,6.496569,0.3580247,0.32249874,0.18244174,0.24073133
2025-10-13 11:32:41,2,1,99 Dana Demmert,17 Rufus Caitlin Duffner,0,0,0,1,1,0,0,0,0,0,1,11.420788,11.325544,1.4718801,0.18244174,0.24073133,0.1426612,0.12747589
2025-10-13 11:34:25,3,1,82 Claire Schmitt,25 Ducky Tewodros,0,0,0,0,0,0,0,0,0,0,0,14.227918,10.799795,-9.262725,0.18569462,0.6148752,0.43603852,0.50687724
2025-10-13 11:34:36,3,1,25 Ducky Tewodros,82 Claire Schmitt,0,0,0,0,0,1,0,0,0,0,0,8.594747,1.5792161,-8.448417,0.43603852,0.50687724,0.6643741,0.49108508
2025-10-13 11:34:44,3,1,82 Claire Schmitt,26 Rhea Joshi,0,0,0,1,1,0,1,0,0,0,0,36.56027,36.423843,-3.155435,0.6643741,0.49108508,0.74965614,0.12684664
2025-10-13 11:35:52,4,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,0,0,0,0,0,0,0,0,11.798377,7.008636,-9.491086,0.24691358,0.83951247,0.5034294,0.7694261
2025-10-13 11:36:22,4,1,82 Claire Schmitt,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,8.518222,8.430677,-1.2181063,0.5034294,0.7694261,0.5363512,0.68511933
2025-10-13 11:36:26,4,1,27 Connie Chan,16 Sasha Baumann,0,0,0,0,0,0,0,0,0,0,0,7.2977576,-0.7618129,-7.2578855,0.5363512,0.68511933,0.73251027,0.69273746
2025-10-13 11:36:31,4,1,16 Sasha Baumann,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,1,7.6830716,5.485022,-5.379974,0.73251027,0.69273746,0.87791497,0.63788724
2025-10-13 11:36:38,4,1,27 Connie Chan,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,1,1,9.4486,9.446419,-0.20301771,0.87791497,0.63788724,0.88340193,0.54342306
2025-10-13 11:36:53,4,1,06 Kylie Chesner,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,0,1,0,18.140057,18.080244,1.4718807,0.88340193,0.54342306,0.8436214,0.36262062
2025-10-13 11:37:00,4,1,21 Sowmya Ragothaman,82 Claire Schmitt,0,0,0,0,0,1,0,0,0,0,0,10.447219,5.7389526,8.729766,0.8436214,0.36262062,0.60768175,0.3052311
2025-10-13 11:37:04,4,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,1,1,0,0,0,0,0,0,15.915312,15.490097,-3.654321,0.60768175,0.3052311,0.7064472,0.15033013
2025-10-13 11:38:38,5,1,15 Hannah Cheng,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,1,0,11.449838,-7.131937,-8.957357,0.027510317,0.43606725,0.26960105,0.5073866
2025-10-13 11:38:43,5,1,08 PJ Maddi Lang,07 Annie Phan,0,0,0,0,0,0,0,1,0,0,0,15.844437,7.131937,-14.148557,0.26960105,0.5073866,0.65199447,0.43606725
2025-10-13 11:38:53,5,1,07 Annie Phan,25 Ducky Tewodros,0,0,0,0,0,0,0,0,0,0,0,12.817834,11.971474,-4.580469,0.65199447,0.43606725,0.7757909,0.31635252
2025-10-13 11:39:06,5,1,25 Ducky Tewodros,09 Moose Lucy Petersen,1,1,0,1,0,0,1,0,0,0,0,31.195694,31.125828,2.086659,0.7757909,0.31635252,0.71939474,0.0050942437
2025-10-13 11:41:35,5,2,09 Moose Lucy Petersen,25 Ducky Tewodros,0,0,0,0,0,0,0,0,0,0,0,9.373541,9.294057,1.2181063,0.41563785,0.5083799,0.38271606,0.4154393
2025-10-13 11:41:39,5,2,25 Ducky Tewodros,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,7.7979155,0.7110208,-7.765432,0.38271606,0.4154393,0.5925926,0.4083291
2025-10-13 11:41:47,5,2,08 PJ Maddi Lang,25 Ducky Tewodros,0,0,0,0,0,0,0,0,0,0,0,11.129309,7.821229,-7.917695,0.5925926,0.4083291,0.80658436,0.3301168
2025-10-13 11:41:56,5,2,25 Ducky Tewodros,09 Moose Lucy Petersen,0,0,0,0,0,1,0,0,0,0,0,12.70329,12.696799,-0.40603322,0.80658436,0.3301168,0.8175582,0.20314881
2025-10-13 11:41:58,5,2,09 Moose Lucy Petersen,08 PJ Maddi Lang,0,0,0,1,1,0,0,0,0,0,0,8.547333,8.53225,-0.5075465,0.8175582,0.20314881,0.8312757,0.117826305
2025-10-13 11:44:16,6,1,10 Steph Rupp,21 Sowmya Ragothaman,0,0,0,0,0,0,0,0,1,0,0,6.481478,-1.4773309,-6.310868,0.34525448,0.8242486,0.5158185,0.8390219
2025-10-13 11:44:25,6,1,21 Sowmya Ragothaman,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,0,11.68281,6.164038,-9.924348,0.5158185,0.8390219,0.7840441,0.77738154
2025-10-13 11:44:27,6,1,27 Connie Chan,10 Steph Rupp,0,0,0,0,0,0,0,0,0,0,0,7.5504866,1.018846,7.4814305,0.7840441,0.77738154,0.58184326,0.7671931
2025-10-13 11:44:42,6,1,10 Steph Rupp,72 JJ Jarik,0,0,0,0,0,0,1,0,0,0,0,33.908817,33.06164,-7.532322,0.58184326,0.7671931,0.7854195,0.43657666
2025-10-13 11:44:50,6,1,72 JJ Jarik,13 Grace Feehan,0,0,0,0,0,1,0,0,0,0,0,21.34494,21.34488,-0.050893366,0.7854195,0.43657666,0.786795,0.22312787
2025-10-13 11:44:54,6,1,13 Grace Feehan,23 Marie Zarazoga,0,0,0,1,1,0,0,1,0,0,0,17.672894,7.4375944,16.031635,0.786795,0.22312787,0.35350758,0.14875193
2025-10-13 11:46:28,7,1,05 Anna Thorn,99 Dana Demmert,0,0,0,0,0,0,0,1,0,1,0,15.780269,4.1772814,-15.217333,0.09078402,0.34844625,0.5020633,0.30667344
2025-10-13 11:46:31,7,1,99 Dana Demmert,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,0,0,10.171937,5.3489537,-8.651994,0.5020633,0.30667344,0.73590094,0.2531839
2025-10-13 11:46:33,7,1,06 Kylie Chesner,05 Anna Thorn,0,0,0,0,0,1,0,0,0,0,0,5.1263614,4.6357617,2.1884456,0.73590094,0.2531839,0.67675376,0.20682628
2025-10-13 11:46:41,7,1,05 Anna Thorn,31 Abby Shure,0,0,0,1,1,0,0,0,0,0,1,9.245674,5.501783,-7.430537,0.67675376,0.20682628,0.8775791,0.15180846
2025-10-13 11:48:15,8,1,82 Claire Schmitt,29 Jade Hostein,0,0,0,0,0,1,0,0,0,0,0,7.9548345,6.3168616,-4.8349404,0.6492435,0.41569027,0.77991754,0.35252166
2025-10-13 11:48:23,8,1,29 Jade Hostein,82 Claire Schmitt,0,0,0,1,1,0,0,0,0,0,0,19.884232,19.86755,-0.8143027,0.77991754,0.35252166,0.8019257,0.15384616
2025-10-13 11:49:26,9,1,10 Steph Rupp,05 Anna Thorn,0,0,0,0,0,0,0,0,0,0,0,8.435429,1.7829835,8.244843,0.70563966,0.6775344,0.4828061,0.65970457
2025-10-13 11:49:36,9,1,05 Anna Thorn,72 JJ Jarik,0,0,0,0,0,0,0,0,0,0,0,13.363219,9.169638,-9.72077,0.4828061,0.65970457,0.7455296,0.5680082
