Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
21 Sowmya Ragothaman,8,"1,2,4,6,8,10,12,14",0,8,0,8,8,6,7,8,0,1,1,1,0,0,0,0,0,0,74.31,48.62,10.62,6.95,77.49,37.87,9.69,4.73
08 PJ Maddi Lang,8,"1,2,5,7,8,11,12,14",0,8,0,8,8,4,7,7,1,0,1,1,0,0,0,1,0,0,71.05,28.35,10.15,4.05,63.62,6.07,9.09,0.87
27 Connie Chan,7,"1,4,6,8,10,12,15",0,7,0,7,10,6,10,8,2,1,1,0,1,1,0,2,0,0,98.19,46.30,10.91,5.14,83.66,48.15,10.46,6.02
99 Dana Demmert,7,"2,3,5,7,10,12,14",0,7,0,7,5,4,4,5,0,1,1,1,0,0,0,0,0,0,43.99,34.89,11.00,8.72,62.64,43.78,12.53,8.76
82 Claire Schmitt,7,"1,3,4,7,8,11,14",0,7,0,7,11,6,10,6,5,4,1,1,0,0,0,2,0,0,172.87,162.13,17.29,16.21,72.25,37.56,12.04,6.26
06 Kylie Chesner,7,"1,4,5,7,8,11,14",0,7,0,7,3,3,2,3,0,0,1,1,0,0,0,1,0,0,23.27,22.72,11.63,11.36,65.27,60.44,21.76,20.15
26 Rhea Joshi,6,"2,3,7,8,11,15",0,6,0,6,2,2,1,2,0,0,0,1,0,0,0,1,0,0,6.47,6.47,6.47,6.47,48.42,48.09,24.21,24.04
23 Marie Zarazoga,6,"2,4,6,10,11,15",0,6,0,6,3,3,2,3,0,0,2,1,0,0,0,0,0,0,20.60,4.25,10.30,2.13,36.23,20.31,12.08,6.77
29 Jade Hostein,5,"1,4,8,11,15",0,5,0,5,6,5,4,5,1,1,0,2,0,0,0,1,0,0,46.32,31.66,11.58,7.92,53.45,49.88,10.69,9.98
11 Letty Ho,5,"2,3,6,10,14",0,5,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.04,5.59,9.04,5.59,12.32,12.29,12.32,12.29
15 Hannah Cheng,5,"3,5,10,13,15",0,5,0,5,5,3,5,3,2,1,0,0,0,0,0,0,0,0,51.65,10.99,10.33,2.20,24.18,-7.69,8.06,-2.56
07 Annie Phan,5,"3,5,9,12,15",1,4,1,4,5,3,4,3,2,0,1,1,0,0,0,1,0,0,48.34,34.18,12.08,8.55,35.32,10.85,11.77,3.62
72 JJ Jarik,4,"6,9,12,13",1,3,1,3,3,3,2,3,0,0,1,1,1,1,0,1,0,0,21.34,21.34,21.34,21.34,70.27,64.70,23.42,21.57
25 Ducky Tewodros,4,"1,3,5,10",0,4,0,4,7,3,7,7,0,1,2,0,1,1,0,0,0,0,58.65,28.70,9.77,4.78,79.32,57.20,11.33,8.17
13 Grace Feehan,3,"6,9,13",1,2,1,2,3,2,3,3,0,2,0,0,0,0,0,1,0,0,39.78,29.44,13.26,9.81,51.83,46.05,17.28,15.35
09 Moose Lucy Petersen,3,"5,12,14",0,3,0,3,4,3,4,3,1,1,0,0,1,1,0,1,0,0,31.28,15.99,10.43,5.33,35.12,34.96,11.71,11.65
16 Sasha Baumann,3,"4,11,15",0,3,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,19.54,17.15,9.77,8.58,19.11,8.92,9.55,4.46
05 Anna Thorn,3,"7,9,13",1,2,1,2,6,3,6,4,2,2,0,0,0,0,0,0,0,0,73.58,41.77,12.26,6.96,30.76,11.97,7.69,2.99
17 Rufus Caitlin Duffner,3,"2,9,13",1,2,1,2,2,2,1,2,0,0,0,1,0,0,0,0,0,0,11.68,11.46,11.68,11.46,23.23,11.68,11.62,5.84
10 Steph Rupp,3,"6,9,13",1,2,1,2,8,3,8,4,4,0,1,0,1,1,0,0,0,0,100.21,72.75,14.32,10.39,33.56,25.98,8.39,6.50
31 Abby Shure,3,"7,9,13",1,2,1,2,4,3,1,4,0,0,0,3,0,0,0,0,0,0,8.81,3.36,8.81,3.36,52.92,49.06,13.23,12.26
