Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-10-13 11:29:00,1,0,0,0,1,2,6,1,1,0,0,2,27 Connie Chan,82 Claire Schmitt,06 Kylie Chesner
2025-10-13 11:30:38,2,1,0,0,1,1,7,0,0,0,1,0,23 Marie Zarazoga,99 Dana Demmert,17 Rufus Caitlin Duffner
2025-10-13 11:32:44,3,2,0,0,1,1,3,0,0,0,1,0,25 Ducky Tewodros,82 Claire Schmitt,26 Rhea Joshi
2025-10-13 11:34:47,4,3,0,0,1,1,8,0,0,0,1,0,21 Sowmya Ragothaman,82 Claire Schmitt,29 Jade Hostein
2025-10-13 11:37:07,5,4,0,0,1,2,9,1,1,0,1,1,25 Ducky Tewodros,09 Moose Lucy Petersen,08 PJ Maddi Lang
2025-10-13 11:42:00,6,5,0,0,1,1,6,0,0,0,1,0,72 JJ Jarik,13 Grace Feehan,23 Marie Zarazoga
2025-10-13 11:44:55,7,6,0,0,1,1,4,0,0,0,0,1,06 Kylie Chesner,05 Anna Thorn,31 Abby Shure
2025-10-13 11:46:43,8,7,0,0,1,1,2,0,0,0,1,0,82 Claire Schmitt,29 Jade Hostein,82 Claire Schmitt
2025-10-13 11:48:49,9,8,0,1,1,3,8,2,2,0,1,1,,05 Anna Thorn,31 Abby Shure
2025-10-13 11:52:19,10,9,0,0,1,1,10,0,0,0,1,0,99 Dana Demmert,25 Ducky Tewodros,21 Sowmya Ragothaman
2025-10-13 11:54:33,11,10,0,0,1,1,1,0,0,0,1,0,,82 Claire Schmitt,29 Jade Hostein
2025-10-13 11:55:48,12,11,0,0,1,2,6,1,1,0,1,1,07 Annie Phan,27 Connie Chan,72 JJ Jarik
2025-10-13 11:59:25,13,12,0,0,1,1,7,0,0,0,0,1,10 Steph Rupp,13 Grace Feehan,31 Abby Shure
2025-10-13 12:02:29,14,13,0,0,1,1,5,0,0,0,1,0,08 PJ Maddi Lang,21 Sowmya Ragothaman,99 Dana Demmert
2025-10-13 12:04:13,15,14,0,0,1,1,9,0,0,0,1,0,23 Marie Zarazoga,15 Hannah Cheng,07 Annie Phan
2025-10-13 12:07:21,16,15,0,0,0,0,0,0,0,0,0,0,,,
